Sample Name	Protocol REF	Parameter Value[HD]	Unit	Term Source REF	Term Accession Number	Parameter Value[PH]	Unit	Term Source REF	Term Accession Number	Parameter Value[TKW]	Unit	Term Source REF	Term Accession Number	Parameter Value[EW]	Unit	Term Source REF	Term Accession Number	Parameter Value[GPE]	Unit	Term Source REF	Parameter Value[GY]	Unit	Term Source REF	Parameter Value[SW]	Unit	Term Source REF	Parameter Value[GH]	Unit	Term Source REF	Term Accession Number	Parameter Value[STC]	Unit	Term Source REF	Term Accession Number	Parameter Value[PC]	Unit	Term Source REF	Term Accession Number	Parameter Value[SDS]	Unit	Term Source REF	Term Accession Number	Parameter Value[HAG]	Unit	Term Source REF	Term Accession Number	Parameter Value[ZEL]	Unit	Term Source REF	Term Accession Number	Assay Name
sample_1496	Phenotyping	147	days	UO	http://purl.obolibrary.org/obo/UO_0000033	82	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	47.4	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	108.218181818182	dt/ha	UO	82.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	326.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	42.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1496
sample_1497	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	87	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	56.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	115.672727272727	dt/ha	UO	78.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	271.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	30.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1497
sample_1498	Phenotyping	153	days	UO	http://purl.obolibrary.org/obo/UO_0000033	99	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	54.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	101.872727272727	dt/ha	UO	83.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.2	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	310.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	45.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1498
sample_1499	Phenotyping	156	days	UO	http://purl.obolibrary.org/obo/UO_0000033	85	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	48.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	118.218181818182	dt/ha	UO	78.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	321.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	20.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1499
sample_15	Phenotyping	147	days	UO	http://purl.obolibrary.org/obo/UO_0000033	112	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	48.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	29.0	number	UO	97.1666666666667	dt/ha	UO	78.9	kg/hL	UO	42.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.09	%	UO	http://purl.obolibrary.org/obo/UO_0000187	40.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	26.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_15
sample_150	Phenotyping	142	days	UO	http://purl.obolibrary.org/obo/UO_0000033	90	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	53.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	41.5	number	UO	114.833333333333	dt/ha	UO	77.1	kg/hL	UO	52.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.83	%	UO	http://purl.obolibrary.org/obo/UO_0000187	66.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	49.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_150
sample_1500	Phenotyping	147	days	UO	http://purl.obolibrary.org/obo/UO_0000033	83	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	57.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	114.090909090909	dt/ha	UO	80.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	390.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	43.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1500
sample_1501	Phenotyping	151	days	UO	http://purl.obolibrary.org/obo/UO_0000033	90	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	54.9	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	108.8	dt/ha	UO	82.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	340.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	29.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1501
sample_1502	Phenotyping	150	days	UO	http://purl.obolibrary.org/obo/UO_0000033	89	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	52.6	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	96.0363636363636	dt/ha	UO	81.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	373.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	52.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1502
sample_1503	Phenotyping	148	days	UO	http://purl.obolibrary.org/obo/UO_0000033	81	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	53.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	104.4	dt/ha	UO	76.85	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.2	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.2	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	256.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	35.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1503
sample_1504	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	82	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	52.9	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	110.363636363636	dt/ha	UO	78.25	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.3	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	305.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	36.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1504
sample_1505	Phenotyping	145	days	UO	http://purl.obolibrary.org/obo/UO_0000033	78	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	54.6	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	101.109090909091	dt/ha	UO	79.5	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.2	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	331.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	34.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1505
sample_1506	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	85	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	46.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	120.6	dt/ha	UO	78.5	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	229.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	23.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1506
sample_1507	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	102	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	53.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	95.3818181818182	dt/ha	UO	82.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	12.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	348.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	57.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1507
sample_1508	Phenotyping	151	days	UO	http://purl.obolibrary.org/obo/UO_0000033	98	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	50.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	111.581818181818	dt/ha	UO	83.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	367.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	39.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1508
sample_1509	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	83	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	40.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	106.309090909091	dt/ha	UO	78.25	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	223.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	20.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1509
sample_151	Phenotyping	151	days	UO	http://purl.obolibrary.org/obo/UO_0000033	97	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	46.1	number	UO	98.0	dt/ha	UO	78.9	kg/hL	UO	52.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	12.68	%	UO	http://purl.obolibrary.org/obo/UO_0000187	91.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	65.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_151
sample_1510	Phenotyping	145	days	UO	http://purl.obolibrary.org/obo/UO_0000033	84	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	59.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	104.909090909091	dt/ha	UO	79.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	314.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	40.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1510
sample_1511	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	88	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	100.818181818182	dt/ha	UO	79.5	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	368.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	28.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1511
sample_1512	Phenotyping	153	days	UO	http://purl.obolibrary.org/obo/UO_0000033	89	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	45.9	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	113.909090909091	dt/ha	UO	80.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	360.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	31.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1512
sample_1513	Phenotyping	153	days	UO	http://purl.obolibrary.org/obo/UO_0000033	96	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	52.6	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	112.036363636364	dt/ha	UO	81.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	71.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	246.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	33.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1513
sample_1514	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	87	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	46.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	113.545454545455	dt/ha	UO	79.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	261.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1514
sample_1515	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	95	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	50.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	108.072727272727	dt/ha	UO	82.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	385.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	44.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1515
sample_1516	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	87	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	122.527272727273	dt/ha	UO	79.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	235.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	20.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1516
sample_1517	Phenotyping	155	days	UO	http://purl.obolibrary.org/obo/UO_0000033	88	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	45.2	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	101.509090909091	dt/ha	UO	78.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	235.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	29.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1517
sample_1518	Phenotyping	155	days	UO	http://purl.obolibrary.org/obo/UO_0000033	98	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	47.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	95.3636363636364	dt/ha	UO	84.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	365.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	44.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1518
sample_1519	Phenotyping	155	days	UO	http://purl.obolibrary.org/obo/UO_0000033	81	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	42.2	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	99.4909090909091	dt/ha	UO	79.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	266.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	35.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1519
sample_152	Phenotyping	135	days	UO	http://purl.obolibrary.org/obo/UO_0000033	85	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	56.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	42.3	number	UO	101.0	dt/ha	UO	76.8	kg/hL	UO	54.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.63	%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	40.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_152
sample_1520	Phenotyping	149	days	UO	http://purl.obolibrary.org/obo/UO_0000033	97	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	52.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	105.418181818182	dt/ha	UO	80.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	296.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1520
sample_1521	Phenotyping	149	days	UO	http://purl.obolibrary.org/obo/UO_0000033	92	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	52.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	111.654545454545	dt/ha	UO	81.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	290.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	40.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1521
sample_1522	Phenotyping	150	days	UO	http://purl.obolibrary.org/obo/UO_0000033	87	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	50.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	111.254545454545	dt/ha	UO	81.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.5	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	386.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	37.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1522
sample_1523	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	75	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	48.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	100.581818181818	dt/ha	UO	78.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	241.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	31.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1523
sample_1524	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	80	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	40.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	104.163636363636	dt/ha	UO	80.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.4	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.3	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	217.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	40.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1524
sample_1525	Phenotyping	147	days	UO	http://purl.obolibrary.org/obo/UO_0000033	84	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	54.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	107.763636363636	dt/ha	UO	79.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	282.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	26.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1525
sample_1526	Phenotyping	145	days	UO	http://purl.obolibrary.org/obo/UO_0000033	83	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	105.2	dt/ha	UO	80.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.2	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	335.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	34.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1526
sample_1527	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	88	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	59.2	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	106.2	dt/ha	UO	80.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	12.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	117.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	49.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1527
sample_1528	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	102	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	52.4	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	110.854545454545	dt/ha	UO	81.1	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	347.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	37.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098	assay_1528
